Run 455: 5.324099779129028s, incorrect: 1, correct: 17
Run 456: 6.201825857162476s, incorrect: 4, correct: 17
Run 457: 6.238903999328613s, incorrect: 4, correct: 17
Run 458: 6.022881269454956s, incorrect: 3, correct: 17
Run 459: 6.538485288619995s, incorrect: 4, correct: 17
Run 460: 6.027434587478638s, incorrect: 3, correct: 17
Run 461: 6.890711545944214s, incorrect: 6, correct: 17
Run 462: 5.848531484603882s, incorrect: 3, correct: 17
Run 463: 5.9527363777160645s, incorrect: 3, correct: 17
Run 464: 6.020634889602661s, incorrect: 3, correct: 17
Run 465: 5.945256233215332s, incorrect: 3, correct: 17
Run 466: 7.51913595199585s, incorrect: 8, correct: 17
Run 467: 6.019983530044556s, incorrect: 3, correct: 17
Run 468: 5.6777732372283936s, incorrect: 2, correct: 17
Run 469: 5.582226514816284s, incorrect: 2, correct: 17
Run 470: 5.769275188446045s, incorrect: 2, correct: 17
Run 471: 5.909485816955566s, incorrect: 3, correct: 17
Run 472: 7.312418699264526s, incorrect: 8, correct: 17
Run 473: 5.648224353790283s, incorrect: 2, correct: 17
Run 474: 5.717496395111084s, incorrect: 2, correct: 17
Run 475: 5.693068981170654s, incorrect: 2, correct: 17
Run 476: 6.8513031005859375s, incorrect: 6, correct: 17
Run 477: 6.90944504737854s, incorrect: 6, correct: 17
Run 478: 7.361078262329102s, incorrect: 8, correct: 17
Run 479: 7.995059967041016s, incorrect: 10, correct: 17
Run 480: 5.971464395523071s, incorrect: 3, correct: 17
Run 481: 7.567011117935181s, incorrect: 8, correct: 17
Run 482: 5.971057176589966s, incorrect: 3, correct: 17
Run 483: 5.685895204544067s, incorrect: 2, correct: 17
Run 484: 6.040150165557861s, incorrect: 3, correct: 17
Run 485: 5.59077525138855s, incorrect: 2, correct: 17
Run 486: 5.73913311958313s, incorrect: 2, correct: 17
Run 487: 5.276601076126099s, incorrect: 1, correct: 17
Run 488: 5.990294933319092s, incorrect: 3, correct: 17
Run 489: 6.819525480270386s, incorrect: 6, correct: 17
Run 490: 5.562497854232788s, incorrect: 2, correct: 17
Run 491: 5.310801029205322s, incorrect: 0, correct: 17
Run 492: 5.870361328125s, incorrect: 3, correct: 17
Run 493: 5.129944324493408s, incorrect: 0, correct: 17
Run 494: 5.582356929779053s, incorrect: 2, correct: 17
Run 495: 6.6592018604278564s, incorrect: 5, correct: 17
Run 496: 7.004824638366699s, incorrect: 6, correct: 17
Run 497: 5.302160978317261s, incorrect: 1, correct: 17
Run 498: 6.273374557495117s, incorrect: 4, correct: 17
Run 499: 5.839226007461548s, incorrect: 3, correct: 17
